"#","Reference","Qty","Value","Footprint","DNP"
"1","C2, C6, C9, C10, C14","5","100nf","Capacitor_SMD:C_1206_3216Metric",""
"2","C3","1","4u7","Capacitor_SMD:C_1206_3216Metric",""
"3","C4, C5, C7, C8","4","22u","Capacitor_SMD:C_1206_3216Metric",""
"4","C15","1","22uf","Capacitor_SMD:C_1206_3216Metric",""
"5","D3","1","LED_RGBA","LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100",""
"6","D4","1","LED","LED_SMD:LED_1206_3216Metric",""
"7","F2","1","Polyfuse 1A","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"8","FB1","1","BLM21PG221","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"9","H1, H2, H3, H4","4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"10","J1","1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12",""
"11","J6","1","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"12","Q1","1","UMH3N","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"13","R1, R2","2","5k1","Resistor_SMD:R_1206_3216Metric",""
"14","R3, R7, R11","3","10k","Resistor_SMD:R_1206_3216Metric",""
"15","R4, R5","2","22R","Resistor_SMD:R_1206_3216Metric",""
"16","R6, R8, R9, R10","4","1k","Resistor_SMD:R_1206_3216Metric",""
"17","SW1","1","SW_SPST","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"18","U1","1","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32D",""
"19","U2","1","USBLC6-2P6","Package_TO_SOT_SMD:SOT-666",""
"20","U3","1","CP2104","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",""
"21","U6","1","TLV1117LV-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
